Vehicle ID,Time Spent (s),Timestamp
12,67.65,2025-04-05 05:00:01
12,67.65,2025-04-05 05:00:01
10,77.56,2025-04-05 05:00:01
10,77.56,2025-04-05 05:00:01
6,112.41,2025-04-05 05:00:01
6,112.41,2025-04-05 05:00:01
2,117.74,2025-04-05 05:00:01
2,117.74,2025-04-05 05:00:01
12,69.30,2025-04-05 05:00:02
12,69.30,2025-04-05 05:00:02
10,79.22,2025-04-05 05:00:02
10,79.22,2025-04-05 05:00:02
6,114.06,2025-04-05 05:00:02
6,114.06,2025-04-05 05:00:02
2,119.40,2025-04-05 05:00:02
2,119.40,2025-04-05 05:00:02
12,71.01,2025-04-05 05:00:04
12,71.01,2025-04-05 05:00:04
10,80.92,2025-04-05 05:00:04
10,80.92,2025-04-05 05:00:04
6,115.76,2025-04-05 05:00:04
6,115.76,2025-04-05 05:00:04
2,121.10,2025-04-05 05:00:04
2,121.10,2025-04-05 05:00:04
12,72.72,2025-04-05 05:00:06
12,72.72,2025-04-05 05:00:06
10,82.63,2025-04-05 05:00:06
10,82.63,2025-04-05 05:00:06
6,117.48,2025-04-05 05:00:06
6,117.48,2025-04-05 05:00:06
